# Marktdata voor het marktprijzen-blok.
# Format per regel: adres | plaats | prijs | status | datum | bron | m2 | postcode
# Velden vanaf 'bron' zijn optioneel en worden automatisch gevuld door funda_mail.py.
# Status: 'verkocht', 'onder bod', 'te koop', 'belegging'.
# Datum (jjjj-mm-dd) is wanneer we dit object zagen. Optioneel; regels zonder
# datum blijven werken, maar tellen niet mee voor looptijd en prijshistorie.
# Staat een adres er al in met een andere prijs, laat de oude regel staan:
# uit die twee regels volgt de prijswijziging.
# Regels met # zijn commentaar. Voeg periodiek nieuwe regels toe.
# Bronnen (bij eerste versie): InBeeld, Hans Janssen, Hermsen, Kolmeijer via Funda-check aug 2026.

# === Stadscentrum / Benedenstad (6511) ===
Mariënburg 20 | Nijmegen | 629000 | te koop
Eilbrachtstraat 6 | Nijmegen | 325000 | te koop
van Berchenstraat 28 | Nijmegen | 325000 | verkocht
van Berchenstraat 28A | Nijmegen | 455000 | verkocht
Nonnenplaats 6 | Nijmegen | 398000 | verkocht
Ziekerstraat 10H | Nijmegen | 389000 | verkocht
Kronenburgersingel 267A | Nijmegen | 650000 | verkocht
Bottelstraat 20 | Nijmegen | 595000 | verkocht
Molenstraat 41D | Nijmegen | 185000 | verkocht
Kronenburgerplaats 31 | Nijmegen | 365000 | verkocht
Karrengas 54 | Nijmegen | 340000 | verkocht
Hertogstraat 119A | Nijmegen | 350000 | verkocht
Groot Bethlehem 9 | Nijmegen | 439000 | verkocht
Plein 1944 168 | Nijmegen | 379000 | verkocht
Priemstraat 17 | Nijmegen | 400000 | verkocht
van Welderenstraat 18 | Nijmegen | 300000 | verkocht
Arsenaalplaats 33 | Nijmegen | 435000 | verkocht
Hertogstraat 65 | Nijmegen | 275000 | verkocht
Ziekerstraat 10D | Nijmegen | 179500 | nieuw
Nieuwe Marktstraat 6 | Nijmegen | 425000 | nieuw
St. Canisiussingel 14 | Nijmegen | 365000 | verkocht
Molenstraat 41K | Nijmegen | 240000 | verkocht
Molenstraat 49B | Nijmegen | 295000 | verkocht
Eerste Walstraat 3B | Nijmegen | 195000 | te koop
Plein 1944 86B | Nijmegen | 495000 | te koop
Nieuwe Markt 90 | Nijmegen | 575000 | te koop
Begijnenstraat 13 | Nijmegen | 450000 | verkocht
Raadhuisstraat 20 | Nijmegen | 359000 | verkocht
Wintersoord 13 | Nijmegen | 375000 | verkocht
Smetiusstraat 4D | Nijmegen | 225000 | te koop

# === Bottendaal-noord (6512) ===
van Goorstraat 30 | Nijmegen | 317500 | verkocht
Burg. Hustinxstraat 246 | Nijmegen | 295000 | te koop
Burg. Hustinxstraat 300 | Nijmegen | 315000 | verkocht
de Ruyterstraat 135 | Nijmegen | 925000 | te koop
de Ruyterstraat 74 | Nijmegen | 525000 | verkocht
de Ruyterstraat 6 | Nijmegen | 350000 | verkocht
St. Stephanusstraat 6A | Nijmegen | 285000 | verkocht
St. Stephanusstraat 28 | Nijmegen | 498000 | verkocht
St. Stephanusstraat 56 | Nijmegen | 450000 | verkocht
St. Stephanusstraat 124 | Nijmegen | 459000 | verkocht
Vondelstraat 57A | Nijmegen | 335000 | verkocht
Graafseweg 35E | Nijmegen | 345000 | verkocht
Graafseweg 47K | Nijmegen | 375000 | te koop

# === Altrade (6521) ===
Coehoornstraat 69 | Nijmegen | 509000 | verkocht
Groesbeeksedwarsweg 78 | Nijmegen | 519000 | verkocht
Groesbeeksedwarsweg 55 | Nijmegen | 469000 | verkocht
Groesbeeksedwarsweg 211 | Nijmegen | 350000 | verkocht
Groesbeeksedwarsweg 133 | Nijmegen | 539000 | verkocht
Rembrandtstraat 45 | Nijmegen | 375000 | verkocht
Bijleveldsingel 57 | Nijmegen | 399000 | verkocht
Prins Bernhardstraat 59 | Nijmegen | 450000 | verkocht
Ruisdaelstraat 38 | Nijmegen | 545000 | verkocht
van Heutszstraat 55 | Nijmegen | 375000 | verkocht
van Heutszstraat 57 | Nijmegen | 439000 | verkocht
Prins Hendrikstraat 73 | Nijmegen | 379000 | verkocht
Dommer van Poldersveldtweg 13 | Nijmegen | 650000 | verkocht
Dommer van Poldersveldtweg 40 | Nijmegen | 729000 | verkocht
Dommer van Poldersveldtweg 42 | Nijmegen | 369000 | verkocht
van Nispenstraat 186 | Nijmegen | 445000 | verkocht
Tooropstraat 133 | Nijmegen | 539000 | verkocht
Tooropstraat 161 | Nijmegen | 515000 | verkocht
Tooropstraat 168 | Nijmegen | 490000 | verkocht
Tooropstraat 201 | Nijmegen | 579000 | verkocht
